"filename", "language", "TypeScript", "JSON", "Draw.io", "comment", "blank", "total"
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/2DgraphicsItems/DoubleRoundDotSolidShader.ts", "TypeScript", -35, 0, 0, -2, -11, -48
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/2DgraphicsItems/InsertKnotButtonDialogShader.ts", "TypeScript", -53, 0, 0, -2, -10, -65
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/2DgraphicsItems/LineSegmentShader.ts", "TypeScript", -27, 0, 0, -6, -10, -43
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/2DgraphicsItems/PolylineShader.ts", "TypeScript", -27, 0, 0, -2, -7, -36
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/2DgraphicsItems/RoundDotSolidShader.ts", "TypeScript", -35, 0, 0, -2, -9, -46
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/2DgraphicsItems/RoundDotTwoLevelsTransparencyShader.ts", "TypeScript", -49, 0, 0, -16, -11, -76
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/2DgraphicsItems/SquareDotSolidShader.ts", "TypeScript", -29, 0, 0, -3, -10, -42
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bezierCurves/BezierR1toR2.ts", "TypeScript", -95, 0, 0, 0, -11, -106
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplineOptimizationProblems/BaseOpBSplineR1toR2.ts", "TypeScript", -299, 0, 0, -29, -46, -374
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplineOptimizationProblems/IOpBSplineR1toR2.ts", "TypeScript", -6, 0, 0, 0, -2, -8
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplineOptimizationProblems/OpPeriodicBSplineR1toR2.ts", "TypeScript", -328, 0, 0, -26, -74, -428
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplineOptimizationProblems/OptimizationProblemCtrlParameters.ts", "TypeScript", -30, 0, 0, -8, -8, -46
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplineOptimizationProblems/OptimizationProblem_BSpline_R1_to_R2.ts", "TypeScript", -1410, 0, 0, -310, -203, -1923
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/BSplineInterfaces.ts", "TypeScript", 0, 0, 0, -7, -5, -12
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/BSpline_R1_to_R1.ts", "TypeScript", 0, 0, 0, -288, -46, -334
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/BSpline_R1_to_R2.ts", "TypeScript", 0, 0, 0, -287, -51, -338
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/BSpline_R1_to_R2_DifferentialProperties.ts", "TypeScript", 0, 0, 0, -115, -21, -136
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/BSpline_R1_to_R2_degree_Raising.ts", "TypeScript", 0, 0, 0, -66, -12, -78
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/BernsteinDecomposition_R1_to_R1.ts", "TypeScript", 0, 0, 0, -109, -28, -137
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/BinomialCoefficient.ts", "TypeScript", 0, 0, 0, -29, -6, -35
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/bsplines/Piegl_Tiller_NURBS_Book.ts", "TypeScript", 0, 0, 0, -141, -14, -155
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/AbsCurvatureSceneController.ts", "TypeScript", -61, 0, 0, 0, -15, -76
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/ChartContentState.ts", "TypeScript", -116, 0, 0, 0, -29, -145
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/ChartController.ts", "TypeScript", -142, 0, 0, 0, -19, -161
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/ChartSceneController.ts", "TypeScript", -295, 0, 0, 0, -30, -325
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/CurvatureSceneController.ts", "TypeScript", -60, 0, 0, 0, -12, -72
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/FunctionASceneController.ts", "TypeScript", -55, 0, 0, 0, -13, -68
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/FunctionBSceneController.ts", "TypeScript", -54, 0, 0, 0, -11, -65
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/FunctionBSceneControllerSqrtScaled.ts", "TypeScript", -60, 0, 0, -1, -12, -73
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/chartcontrollers/NoFunctionSceneController.ts", "TypeScript", -27, 0, 0, 0, -5, -32
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/containers/AbstractPolygonWithVerticesR1.ts", "TypeScript", -43, 0, 0, 0, -10, -53
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/containers/AdjacentOscillatingPolygons.ts", "TypeScript", -109, 0, 0, 0, -11, -120
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/containers/ChartDescriptorQueueItem.ts", "TypeScript", -32, 0, 0, 0, -9, -41
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/containers/OscillatingPolygonWithVerticesR1.ts", "TypeScript", -126, 0, 0, 0, -12, -138
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/containers/PolygonWithVerticesR1.ts", "TypeScript", -174, 0, 0, 0, -15, -189
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/containers/Queue.ts", "TypeScript", -130, 0, 0, 0, -19, -149
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/containers/VertexR1.ts", "TypeScript", -30, 0, 0, 0, -8, -38
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/CurveConstraintSelectionState.ts", "TypeScript", -167, 0, 0, 0, -25, -192
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/CurveControlState.ts", "TypeScript", -519, 0, 0, -5, -73, -597
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/CurveControlStrategyInterface.ts", "TypeScript", -9, 0, 0, -3, -7, -19
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/CurveSceneController.ts", "TypeScript", -327, 0, 0, -209, -75, -611
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/CurveSceneControllerInteractionStrategy.ts", "TypeScript", -570, 0, 0, -54, -96, -720
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/CurveShapeMonitoringStrategy.ts", "TypeScript", -647, 0, 0, -82, -136, -865
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/DummyStrategy.ts", "TypeScript", -109, 0, 0, -1, -23, -133
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/NoSlidingStrategy.ts", "TypeScript", -68, 0, 0, -63, -22, -153
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/SceneControllerInterface.ts", "TypeScript", -5, 0, 0, -10, -6, -21
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/SlidingStrategy.ts", "TypeScript", -711, 0, 0, -52, -62, -825
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/SlidingStrategyForTest.ts", "TypeScript", -705, 0, 0, -55, -63, -823
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/controllers/SlidingStrategyStrictlyInsideShapeSpace.ts", "TypeScript", -1304, 0, 0, -246, -85, -1635
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/AbstractCurveDifferentialEventsExtractor.ts", "TypeScript", -70, 0, 0, -4, -15, -89
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/ClosedCurveDifferentialEventsExtractor.ts", "TypeScript", -70, 0, 0, 0, -15, -85
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/ClosedCurveDifferentialEventsExtractorWithoutSequence.ts", "TypeScript", -34, 0, 0, -1, -5, -40
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/CurveAnalyzer.ts", "TypeScript", -337, 0, 0, -31, -63, -431
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/CurveAnalyzerInterface.ts", "TypeScript", -15, 0, 0, -2, -13, -30
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/CurveDifferentialEventsLocations.ts", "TypeScript", -69, 0, 0, -3, -16, -88
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/CurveDifferentialEventsLocationsInterface.ts", "TypeScript", -14, 0, 0, 0, -9, -23
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/CurveDifferentialEventsSequenceExtractorInterface.ts", "TypeScript", -7, 0, 0, 0, -4, -11
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/ExtractionCPClosestToZeroUnderEventSlidingAtExtremeties.ts", "TypeScript", -122, 0, 0, -2, -17, -141
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/ExtremumLocationClassifiier.ts", "TypeScript", -62, 0, 0, 0, -12, -74
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/OpenCurveDifferentialEventsExtractor.ts", "TypeScript", -54, 0, 0, 0, -10, -64
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceAnalysis/OpenCurveDifferentialEventsExtractorWithoutSequence.ts", "TypeScript", -32, 0, 0, 0, -4, -36
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/BoundaryEnforcer.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveConstraintStrategy.ts", "TypeScript", -438, 0, 0, -14, -60, -512
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveConstraints.ts", "TypeScript", -324, 0, 0, -22, -27, -373
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveShapeSpaceDescriptor.ts", "TypeScript", -25, 0, 0, -1, -7, -33
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/CurveShapeSpaceNavigator.ts", "TypeScript", -172, 0, 0, -8, -37, -217
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/NavigationCurveModel.ts", "TypeScript", -357, 0, 0, -36, -83, -476
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/NavigationCurveModelInterface.ts", "TypeScript", -10, 0, 0, -3, -9, -22
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/NavigationState.ts", "TypeScript", -497, 0, 0, -55, -95, -647
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/ShapeSpaceDiffEventsConfigurator.ts", "TypeScript", -299, 0, 0, -95, -54, -448
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/curveShapeSpaceNavigation/ShapeSpaceDiffEventsStructure.ts", "TypeScript", -101, 0, 0, -22, -21, -144
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/CurveConstraintInterface.ts", "TypeScript", -12, 0, 0, 0, -4, -16
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/IShapeSpaceConfigurator.ts", "TypeScript", -4, 0, 0, 0, -2, -6
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/Observer.ts", "TypeScript", 0, 0, 0, -9, -4, -13
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/RenderFrameObserver.ts", "TypeScript", 0, 0, 0, -6, -6, -12
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/SceneInteractionStrategy.ts", "TypeScript", -7, 0, 0, 0, -7, -14
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/designPatterns/SlidingEventsAtExtremities.ts", "TypeScript", -5, 0, 0, 0, -1, -6
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/errorProcessing/ErrorLoging.ts", "TypeScript", -28, 0, 0, 0, -8, -36
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/filecontrollers/FileController.ts", "TypeScript", -68, 0, 0, -2, -12, -82
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/linearAlgebra/CholeskyDecomposition.ts", "TypeScript", -80, 0, 0, -22, -19, -121
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/linearAlgebra/DenseMatrix.ts", "TypeScript", -46, 0, 0, -42, -10, -98
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/linearAlgebra/DiagonalMatrix.ts", "TypeScript", -43, 0, 0, -30, -13, -86
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/linearAlgebra/MathVectorBasicOperations.ts", "TypeScript", -138, 0, 0, -85, -21, -244
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/linearAlgebra/MatrixInterfaces.ts", "TypeScript", -9, 0, 0, -16, -10, -35
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/linearAlgebra/SquareMatrix.ts", "TypeScript", -87, 0, 0, -65, -17, -169
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/linearAlgebra/SymmetricMatrix.ts", "TypeScript", -132, 0, 0, -68, -24, -224
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/main.ts", "TypeScript", -10, 0, 0, 0, -2, -12
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathVector/CylindricalCoordinates.ts", "TypeScript", -15, 0, 0, -3, -7, -25
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathVector/RotationMatrix.ts", "TypeScript", -2, 0, 0, -11, -2, -15
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathVector/Vector2d.ts", "TypeScript", -94, 0, 0, -3, -27, -124
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathVector/Vector3d.ts", "TypeScript", -39, 0, 0, -3, -19, -61
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathVector/VectorInterface.ts", "TypeScript", -13, 0, 0, -3, -19, -35
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathematics/DifferentialEvent.drawio", "Draw.io", 0, 0, -22, 0, 0, -22
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathematics/Optimizer.ts", "TypeScript", -203, 0, 0, -61, -63, -327
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathematics/Tagged_Vector_2d.ts", "TypeScript", 0, 0, 0, -43, -9, -52
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/src/mathematics/TrustRegionSubproblem.ts", "TypeScript", -381, 0, 0, -148, -81, -610
