"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/bsplineOptimizationProblems/OptimizationProblem_BSpline_R1_to_R2.ts", "TypeScript", 382, 78, 98, 558
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/containers/AdjacentOscillatingPolygons.ts", "TypeScript", 305, 0, 16, 321
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/containers/OscillatingPolygonWithVerticesR1.ts", "TypeScript", 358, 0, 29, 387
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/containers/PolygonWithVerticesR1.ts", "TypeScript", 299, 4, 34, 337
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/containers/VertexR1.ts", "TypeScript", 19, 0, 3, 22
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/controllers/CurveConstraintSelectionState.ts", "TypeScript", 10, 6, 1, 17
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/controllers/CurveControlState.ts", "TypeScript", 10, 6, 1, 17
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/controllers/SlidingStrategyForTest.ts", "TypeScript", 85, 3, 9, 97
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/curveShapeSpaceNavigation/ShapeNavigationParameters.ts", "TypeScript", 4, 100, 2, 106
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/mathVector/Vector2d.ts", "TypeScript", 14, 0, 4, 18
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/newBsplines/BSplineR1toR1.ts", "TypeScript", 57, 0, 14, 71
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/newBsplines/BSplineR1toR2.ts", "TypeScript", 207, 11, 27, 245
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/sequenceOfDifferentialEvents/ComparatorOfSequencesDiffEvents.ts", "TypeScript", 478, 18, 50, 546
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/sequenceOfDifferentialEvents/ComparatorOfSequencesOfIntervals.ts", "TypeScript", 110, 2, 17, 129
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/sequenceOfDifferentialEvents/LocalizerOfDifferentialEvents.ts", "TypeScript", 984, 80, 88, 1152
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/sequenceOfDifferentialEvents/SequenceOfDifferentialEvents.ts", "TypeScript", 136, 5, 23, 164
"/Users/jean-claude/Documents/Developpement/developpement_courbes_surfaces/jean_claude_features/test/sequenceOfDifferentialEvents/SequenceOfIntervals.ts", "TypeScript", 54, 0, 12, 66
"Total", "-", 3512, 313, 428, 4253